S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
34,Deal curry,Altizon Systems Private Limited,2014,"Altizon has a family of sensor data appliances and SDKs that drive data from sensors in Industrial Equipment to our flagship Datonis™ platform. The Datonis™ platform provides a device cloud, and performs large-scale data ingestion and aggregation utilizing Big Data technologies on time series data. ",Industrials,Industrial goods and services,Software_and_Internet_Services,,B2B,Product company focused on the Industrial Internet,,,Pune,Maharashtra,Angel investment,Big Data Analytics and Machine learning,,,,,,3,Ranjit Nair,Yogesh Kulkarni,Vinay Nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Deal curry,Amigobulls Mediatech Private Limited,2015,Amigobulls specializes in technology stock analysis. They do deep research on companies listed on NYSE and NASDAQ and provide stock analysis videos aimed at helping the individual investor take unbiased investment decisions.,Technology,Software & Computer Services,Fin_Tech_and_Payments,,B2C,Technology stock analysis,,,Bengaluru,Karnataka,Angel investment,Investment advisory and consultancy and financial consumer services,,,,,,3,Mandeep Makkar,Chandu Sohoni,Poorna Nayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Deal curry,Anakage Technologies Private Limited,2015,"Anakage offers effective people readiness solutions by creating interactive training and product learning solutions providing personalized help and learning on actual software application removing intermediaries like help files, training videos and product simulations",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Business training,,,Bengaluru,Karnataka,Angel investment,Business Training & Employment Agencies,,,,,,1,Ranjeev Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Deal curry,Anant Learning And Development Private Limited,2015,Anant Learning and Development Support individuals and organizations in attaining inclusive growth through innovative solutions.,Technology,Software & Computer Services,Edu_Tech,,B2C,Education to marginalized and disadvantaged populations,,,Delhi,,Angel investment,Social ventures in education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Deal curry,Anglian Flamingo Private Limited,2015,"Anglian Flamingo Private Limited provides property development and project management consulting services. It offers development management consultancy services, including research, construction management and marketing.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Project management consultancy services,,,Delhi,,Angel investment,Buisness and Management consultancy,,,,,,1,Abhilash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Deal curry,Angular Technologies Private Limited,2015,Education Startup with a vision to provide quality education to students preparing for competitive exams with the help of technology.,Technology,Software & Computer Services,Edu_Tech,,B2C,Provides Quality education for competitve exams,,,Chandigarh,Punjab,Angel investment,Training for entrance exams,,,,,,1,Saurabh Singla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Deal curry,Anveshan Techsolutions Private Limited,2015,"Anveshan Techsolutions Private Ltd. develops Software as a Service (SaaS) applications that help businesses to enhance customer relations using non-voice communications channels. It offers Customer360 that provides video chat and in-app support to its customers, and 360Video, a video chat solution that enhances the support processes and quickens resolution speed by communicating with customers in real-time.",Technology,software & Computer Services,Software_and_Internet_Services,,B2B,Help businesses to enhance customer relations,,,Mumbai,Maharashtra,Angel investment,SaaS,,,,,,3,Mitul Thakkar,Onkar Bhosle,Mayuresh Shilotri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Deal curry,Appalert Online Services ,2015,AppAlert offers a mobile platform that enables its users to get notified when applications they want are available for free. ,Technology,Software & Computer Services,Technology_,,B2C,Mobile platform to get notifications about apps,,,Delhi,,Angel investment,Internet of things infrastructure,Display Technology,,,,,1,Ashuvinder Ahuja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Deal curry,Applied Life Private Limited,2015,"Applied Life Pvt. Ltd. operates a jobs and careers community for women professionals in India. Its platform provides access to opportunities, career resources, information and community sharing, and conversations, as well as mentorship, coaching, and support across various levels, stages, and sectors.",Technology,Software & Computer Services,Edu_Tech,,B2C,Operates a jobs and careers community for women professionals,,,Noida,Uttar Pradesh,Angel investment,Placement and Employment related services,,,,,,1,Sairee Chahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Deal curry,Apps wWhere Software Private Limited,2015,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
