S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
200,Deal curry,Expedient Healthcare Marketing Private Limited,2014,"Expedient Healthcare Marketing Pvt. Ltd. operates an online healthcare marketplace in India. The company specializes in diagnostic, preventive, and chronic disease management.",Healthcare,Healthcare,Health_Tech,,B2C,Online health care portal,,,Gurgaon,Haryana,Angel investment,Telemedicine and Online health care platforms,,,,,,2,Deepak Sahni,Anuj Mittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Deal curry,Fairassets Technologies India Private Limited,2015,"Fairassets Technologies Private Limited provides a peer-2-peer lending platform where potential lenders and borrowers can register and then interact amongst themselves to strike deals on lending and borrowing. The company’s platform enables users to know the borrower by their profession, caste, and mother tongue.",Financials,Financial services,Fin_Tech_and_Payments,,B2C,Online lending platform,,,Gurgaon,Haryana,Angel investment, Alternative Funding Platforms,,,,,,3,Rajat Gandhi,Vinay Mathews,Nitin Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Deal curry,FilmySphere Entertainment Private Limited,2014,Filmysphere Entertainment Pvt. Ltd. operates a social movie platform. Its platform allows users to know insights about latest movie releases and their favorite celebrities and make update them self about the recent happenings in the industry.,Technology,Software & Computer Services,Media_Advertising_and_Gaming,,B2C,Social movie platform,,,Bengaluru,Karnataka,Angel investment,Media and entertainment,,,,,,3,H S Ganesh,Gaurish S Akki,Rudresh H S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Deal curry,Find Your Great Work Private Limited,2014,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Deal curry,Findurclass Services Private Limited,2016,"FindURClass Services Pvt. Limited provides an online search and discovery platform that helps parents and students to explore information on extracurricular activities, hobby classes, and courses near them. It offers FindUrClass.com, an online platform that enables users to search and get information, videos, and images, as well as view reviews and ratings.",Technology,Software & Computer Services,Social_Platforms,,B2C,Online search and discovery platform,,,Mumbai,Maharashtra,Angel investment,Website for information,,,,,,2,Rina Nathani,Aakash Jethwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Deal curry,FindYahan India Private Limited,2015,FindYahan is a location-based discovery platform that connects skilled individuals and home businesses with their target customers easily and effectively. It helps its users find the right people they are looking for.,Technology,Software & Computer Services,Social_Platforms,,B2C,Location based services,,,Gurgaon,Haryana,Angel investment,Connect to Professionals,,,,,,2,Rachit Mathur,Snehil Khanor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Deal curry,Fingertip Foods Private Limited,2015,"Gurgaon-based Fingertip Foods Pvt Ltd, runs online meal service startup Frsh.com.",Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Online meal service start-up,,,Noida,Uttar Pradesh,Angel investment, Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Deal curry,Firstride Auto Private Limited,2014,"Firstride Auto Private Limited allows users to research, compare, test drive, and buy cars and accessories online in Bengaluru, Chennai, and Delhi. It also arranges services for customers' vehicles.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Platform to buy cars online,,,Bengaluru,Karnataka,Angel investment,Car Motorbike Industrial,,,,,,1,Vijau Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Deal curry,Fixy,2014,Essential Handyman services and Cleaning services have always been a lengthy process in procuring. We aim to solve the above problems by professionalizing the Handyman & the retail cleaning business enabling consumers to book their services online providing various options as per their requirement and problems,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Endeavour to provide professional Handyman,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Deal curry,Flat Dot To Technologies Private Limited,2015,"Flat Dot to Technologies Pvt. Ltd. develops an Internet based real estate listings platform for mobile users. Its application connects potential flat mates, prospective owners, and other seekers to group with by providing location and requirement based matches.",Technology,Software & Computer Services,Real_estate,,B2C,Real estate listing platform,,,Mumbai,Maharashtra,Angel investment,"Buy , Rent and Sell Property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Deal curry,Flexing It Services Private Limited,2015,"Flexing It™ (www.flexingit.com) is a curated global marketplace that connects highly skilled independent consultants and business freelancers to 1,700+ companies across the region for project based, short term and consulting assignments.",Technology,Software & Computer Services,Consumer_Products_and_Services,Social_Platforms,B2C,Connects people to profesionals  ,,,Delhi,,Angel investment,Professional Services,,Connect to Professionals,,,,1,Chandrika Pasricha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Deal curry,Fly With VIP Online Private Limited,2015,Fly With VIP' initiative offers the opportunity to fly on a seat adjacent to your favourite celebrity.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Gives opportunity to fly with celebrities,,,Mumbai,Maharashtra,Angel investment,Servicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Deal curry,FNB City Media Private Limited,2015,FNB City Media Pvt Ltd develops online platform for planning night outs.,Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Night out planners,,,Mumbai,Maharashtra,Angel investment,Recreational Services,,,,,,1,Hemant Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Deal curry,FoodAbhi,2015,FoodAbhi is an online marketplace where various tiffin sellers across the city come together to offer best deals and offerings to you.,Technology,Software & Computer Services,hyperlocal_and_Logistics,,B2C,Online tiffin sellers,,,,Maharashtra,Angel investment, Food Products,,,,,,1,Amit Dube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Deal curry,Footprints Childcare Private Limited,2015,Footprints Childcare is a play school and day care chain which takes care of babies from 9+ months.,Consumer_services,Retail,Edu_Tech,,B2C,Play school,Day care chain,,Delhi,,Angel investment,Tuitions and Tutors,,,,,,1,Raj Singhal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Deal curry,Foradian Technologies Private Limited,2014,Foradian Technologies is a software provider of ERP Solutions for education institutions.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B,ERP,,,Bengaluru,,Angel investment,ERP,,,,,,1,Abdulla Hisham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Deal curry,Fortuna Retail Private Limited,2014,"Fortuna Retail Private Limited operates gempundit.com that sells loose gemstones and colored gemstone jewelry online. The company sells an array of natural colored gemstones, including precious stones (sapphires, emeralds, rubies, natural pearl, etc.) and semi-precious stones.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Online gemstone sellers,,,Gurgaon,,Angel investment,Household Products,,,,,,1,Nitin Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Deal curry,Fourth Partner Energy Private Limited,2014,"Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India. The company specializes in manufacturing solar energy based applications and its current product portfolio includes solar lanterns, home lighting systems, solar street lights, and photovoltaic panels.",Oil and Gas,Oil and gas,Clean_Tech,,B2C,Turnkey rooftop solar energy solutions,,,Hyderabad,Andhra Pradesh,Angel investment,Solar energy,,,,,,3,Saif Dorajiwala,Vivek Subramanian,Vikas Saluguti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Deal curry,Free 3 Healthcare Services Private Limited,2014,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Deal curry,Frrole Tech Private Limited,2014,Frrole is a best-in-class AI platform that works at the intersection of social data and consumer intelligence.,Technology,Software & Computer Services,Software_and_Internet_Services,,B2B2C,AI platform,,,Bengaluru,Karnataka,Angel investment,Internet and software development,,,,,,3,Amarpreet Kalkat,Nishith Sharma,Abhishek Vaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Deal curry,Function Space Labs Private Limited,2014,"Function Space is a social learning network for science with complete ecosystem (articles, video lectures, problem solving, discussions, and networking) for participants from academia to corporate research. The network now spans standard computers as well as an iOS app for mobile integration.",Technology,Software & Computer Services,Edu_Tech,,B2C,Social learning network for Science,,,Pune,Maharashtra,Angel investment,IT and Mobile solutions for Education delivery,,,,,,3,Adit Gupta,Sakshi Majmudar,Sumit Maniyar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Deal curry,Futuregifting Eventures Private Limited,2015,"Futuregifting Eventures Pvt Ltd, doing business as AskMyGift, develops and operates a mobile application that allows users to create a personalized wish list for gifts. The company's application also enables users to share their gift wish lists across social networks and contacts.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online gifting,,,Noida,Uttar Pradesh,Angel investment,Online Gifting,,,,,,1,Sumeet Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Deal curry,Fxkart Private Limited,2015,"Fxkart, an online aggregator of RBI-licensed foreign exchange dealers, offers foreign exchange market place to forex customers. It delivers online forex services in India along with the cheapest money conversion rates for INR to foreign currency conversions.",Financials,Financial services,Fin_Tech_and_Payments,,B2C,Online foreign exchange dealers,,,Bengaluru,Karnataka,Angel investment, Banking and Non Banking Financial services,,,,,,1,Mushtaq Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Deal curry,Gadgetwood Eservices Private Limited,2015,Gadgetwood” started with an idea of offering users with dependable technical support and quality repair services in consumer electronics.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Qulitiy repair service providers,,,Delhi,,Angel investment,Consumer Electronics,,,,,,3,Ankit Saraf,Jayat Jha,Anmol Guota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Deal curry,Garage Labs Technologies ,2014,"Garage Labs Technologies Private Limited operates an online platform to showcase and sell artwork in India. It offers Cupick, a platform that helps to discover, engage, and share artworks and photos. The company’s platform offers post cards, greeting cards, posters, art prints, and canvas prints.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Online platform to showcase and sell artwork,,,Bengaluru,Karnataka,Angel investment,Household Products,,,,,,1,Rituraj Dowerah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Deal curry,GenY Medium Private Limited,2014,GenY Medium is a full service digital marketing company providing online branding and marketing services.,Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Digital marketing company,,,Hyderabad,Andhra Pradesh,Angel investment,Product development,,,,,,3,Richa Sethia,Yashwanth Kumar,Ravi Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Deal curry,Get My Peon Llp,2015,Get My Peon is an innovative errand-running and same-day delivery service.,Consumer_services,Retail,Consumer_Products_and_Services,,B2B2C,Delivery service,Errand service,,Mumbai,Maharashtra,Angel investment,Professional Services,,,,,,1,Bharat Ahiwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Deal curry,GetLook Technology Private Limited,2015,"At Getlook, our vision is to make home salon services as easy, reliable and delightful as online shopping. We connect you with best beauty professionals near your area so that you get the quality of service that you are so used to at your favorite salons and spas but now at comfort of your home. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Beauty service provider,,,Bengaluru,Karnataka,Angel investment,Specialized Consumer Services,,,,,,1,Gaurav Maheshwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Deal curry,Girnarsoft Education Services Private Limited,2015,"Girnarsoft Education Services Pvt. Ltd. develops and operates an online portal connecting colleges and their course listings with interested students. Its portal enables students in exploring top institutions, colleges, and universities in India by rank, courses, specialization, facilities, and location. The company also provides information on entrance exams and rankings.",Technology,Software & Computer Services,Edu_Tech,,B2C,Online portal connecting college and students,,,Gurgaon,Haryana,Angel investment,Online or other forms of student support,,,,,,2,Ruchir Arora,Arshindar Randhawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Deal curry,Glam Online Private Limited,2016,Glam Studios is India’s first chain of technology-driven and quality-conscious salons to suit realistic budgets of our customers.,Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Saloon,,,Noida,Uttar Pradesh,Angel investment,Specialized Consumer Services,,,,,,3,Sadiya Naseem,Dharakhshan Husain,Feeroz Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Deal curry,Global Edu4share Private Limited,2015,Global Edu4Share Private Limited operates an e-commerce education portal focused on competitive exams.,Technology,Software & Computer Services,Edu_Tech,,B2C,E-Commerce education portal,,,Delhi,,Angel investment,Training for entrance exams,,,,,,2,Jerry Josh,Ashvini Jakhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Deal curry,Goodpeople Clothing Company Private Limited,2015,Goodpeople Clothing Company Pvt. Ltd. manufactures jeans for men and women. It serves customers via online.,Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Jean manufacturers,,,Delhi,,Angel investment,Clothing & Accessories,,,,,,4,Shyam Sukhramani,Himanshu Shani,Mia Morikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Deal curry,GoodService,2014,"Goodservice is a mobile application that takes care of all your needs over simple chat. When you send us a chat message, our systems get to work understanding your need. They match your request, location, budget & schedule to find the most reliable and qualified service provider options

.",Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,Mobile app to get all kinds of srvices,,,Delhi,,Angel investment,Servicing,,,,,,1,Vipul Aggarwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Deal curry,Gosolar Ventures ,2015,"Gosolar Ventures Pvt. Ltd. operates an online marketplace for solar products. Its platform empowers owners, solar system designers and integrators, financiers, equipment providers, and relevant stakeholders of the solar industry, and sells products in the areas of modules, solar inverters, structures, peripherals, tools, solar gadgets, and earthling and lightning. ",Industrials,Industrial goods and services,Internet_marketplace_and_eCommerce,Clean_Tech,B2C,Online market place for solar products,,,Ahmedabad,Gujarat,Angel investment,Buy and Sale goods and products,,Solar energy,,,,2,Anmol Singh Jaggi ,Puneet Singh Jaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Deal curry,GrabOn Private Limited,2014,"GrabOn is an online coupons, offers, promo codes, and coupon codes site.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Online Coupons and deals ,,,Hyderabad,Andhra Pradesh,Angel investment,Coupons and Deals,,,,,,2,Ashok Reddy,Bhanu P Raju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Deal curry,Green Enabled IT Solutions Private Limited,2015,"Green Enabled IT Solutions Pvt. Ltd. provides IT asset management and remarketing solutions worldwide. It offers IT asset life cycle management services in the areas of packaging and logistics, refurbishment and repair, data wipes, redeployment or safety stock maintenance, reselling, and maintenance and spares, as well as inventory audit.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,IT asset life cycle management services,,,Bengaluru,Karnataka,Angel investment,Business Support Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Deal curry,Gympik Health Solutions Private Limited,2015,Gympik health solutions is a gym to have a fit and healthy body.,Healthcare,Healthcare,Health_Tech,,B2C,Gym,,,Bengaluru,Karnataka,Angel investment,Fitness & Wellness,,,,,,2,Ajay Pandey,Amaresh Ojha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Deal curry,Gzg Eduservices Private Limited,2016,"GZG Eduservices Private Limited owns and operates Gyaanzone.com, an online career planning and education advisory portal. The company provides information on various issues in the life cycle of a career that includes college selection, job procurement, faculty decisions, and prospective employers.",Technology,Software & Computer Services,Edu_Tech,,B2C,Education advisory portal,,,Mumbai,Maharashtra,Angel investment,Placement and Employment related services,,,,,,2,Sultan Ansari,Afsheen Hamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Deal curry,Handy Home Solutions ,2015,"HandyHome App. provides users with a wide range of features. These include ordering repairs from the brands directly, self-help guides, storing of your bill copy and device details.",Consumer_services,Retail,Consumer_Products_and_Services,Internet_marketplace_and_eCommerce,B2C,Online booking of home/kitchen appliances,,,Mumbai,Maharashtra,Angel investment,Utility services,,Home Kitchen and Pets,,,,4,Akash Goel,Bonish Gandhi,Manthan Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Deal curry,Hansel Software Private Limited,2016,"Hansel Software Private Limited develops crash analytics for mobile applications. It offers a developer-friendly toolkit that helps them to diagnose, resolve and communicate customer issues on their application.",Technology,Software & Computer Services,Software_and_Internet_Services,,B2C,Crash analytics developers,,,Bengaluru,Karnataka,Angel investment,Communication services,,,,,,3,Varun Ramamurthy Dinakar,Parmindar Singh,Mudit Krishna Mathur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Deal curry,HealthPlix,2014,"HealthPlix's mission is to defeat chronic diabetes by bringing in paradigm changes in the way diabetes is treated and managed . Using a sophisticated yet user friendly mobile health app backed by a robust technology platform we organize diabetes care for the patients, enable the patients follow diabetes self-management steps",Healthcare,Healthcare,Health_Tech,,B2C,App to organize diabetes care for patients,,,Bengaluru,Karnataka,Angel investment,Healthcare Analytics and Software,,,,,,1,Raghuraj Sunder Raju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Deal curry,Hed Experts Private Limited,2014,description not available,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Deal curry,Helios Lifestyle Private Limited,2015,"Helios Lifestyle Pvt. Ltd. manufactures and sells men’s grooming products in India. The company offers face and body wash products, shampoos, hair gels, shaving gels, pleasure products, and grooming starter packs. It sells its products online.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Men's groming products sellers,,,Gurgaon,Haryana,Angel investment,Personal Products,,,,,,3,Rohit Chawla,Parvesh Bareja ,Bhisham Bhateja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Deal curry,Hello Curry Private Limited,2014,Hello Cury is a restaurant in south India offering food online and delivers at your door step,Consumer_services,Retail,Hyperlocal_and_Logistics,,B2C,Restaurant,,,Hyderabad,Andhra Pradesh,Angel investment, Food Products,,,,,,2,Raju Bhupati,Sandeep Penmatsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Deal curry,High City Retail Private Limited,2015,"High City Retail Private Limited operates an online shopping site, Shopatplaces. It sells apparel, jewelry, bags, home décor products, shoes, and accessories online.",Consumer_goods,personal and household goods,Consumer_Products_and_Services,,B2C,Online shopping site,,,Delhi,,Angel investment,Clothing & Accessories,Personal Products,,,,,2,Zuhaib Khan, Sherfur Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Deal curry,HiJinny,2015,"HiJinny is a platform that brings professional beauty and wellness services to your door step through hand-picked professionals who have been vetted and trained. The platform focusses on providing, ‘in-salon’ experience at home and allows the customers to choose the professional, thereby solving big problems of convenience and preference. ",Consumer_services,Retail,Consumer_Products_and_Services,,B2C,Online platform to book professional beauty services at home.,,,Pune,Maharashtra,Angel investment,Specialized Consumer Services,,,,,,1,Kalpesh Balar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Deal curry,Hinshitsu Manufacturing ,2015,"Hinshitsu Manufacturing Pvt Ltd. provides a design studio to customize their furniture and purchase online. It provides customfurnish.com, a tool that allows customers to customize and purchase wardrobes, modular kitchens, such as L-shaped, straight, U-shaped, and parallel kitchens, and sofas.",Consumer_goods,personal and household goods,Internet_marketplace_and_eCommerce,,B2C, A tool to customize and purchase furniture online,,,Hyderabad,Andhra Pradesh,Angel investment,Home and furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Deal curry,Holidify Travels Private Limited,2015,"Holidify.com Travels Private Limited operates a destination discovery platform that helps travelers to find the right destinations according to their preferences and help them to plan their holidays. Its platform enables users to browse for best beaches, hill stations, deserts, wildlife sanctuaries etc.",Consumer_services,Travel and Leisure,Consumer_Products_and_Services,,B2C,Travel and tourism,,,Delhi,,Angel investment,Travel & Tourism,,,,,,2,Kovid Kapoor,Rohit Shroff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Deal curry,Homers,2015,"Homers is a rreal estate start-up which helps in finding residential properties, apartment flats of our choice.",Industrials,Industrial goods and services,Real_estate,,B2B2C,Real estate,,,Gurgaon,Haryana,Angel investment,"Buy , Rent and Sell Property",,,,,,2,Tarun Chaudhry,Vineet Pathania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Deal curry,Homigo Realty Private Limited,2015,"Homigo Realty Private Limited offers shared accommodation for bachelors. It operates and leases Homigo Houses, fully-furnished houses, that it rents on sharing basis to working professionals.",Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,House rent services,,,Bengaluru,Karnataka,Angel investment,Online Rental,,,,,,3,Nikunj Bathea,Jatin Mitruka,Aakash Verma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Deal curry,Hostra System Private Limited,2015,"Hostra Systems Pvt. Ltd. operates RoomCentral, a booking engine and a cloud-based property management system that offers property owners with tools and solutions for reservation and property management. ",Industrials,Industrial goods and services,Real_estate,,B2B,Property management services,,,Bengaluru,Karnataka,Angel investment,Property management services,,,,,,1,Atul Prabhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Deal curry,Humble Egg Technologies Private Limited,2015,Humble Egg Technologies Pvt Ltd. operates a fashion rental Website. It rents ethnic and western designer apparel.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Fashion rental website,,,Bengaluru,Karnataka,Angel investment,Online Rental,,,,,,1,Prashanth Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
