ICB_industry,ICB_sector,accelaratorResult,accelerator,accleratorDate,businessModel,city,companyWebsite,dealInvestmentAmount,description,equityValuation,foundedDate,founderName,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupName,startupStatus,state
Technology,Software & Computer Services,,,,,Bengaluru,,,"ActOnMagic Technologies Pvt. Ltd., an intelligent cloud management company, develops cloud analytics and management products to deliver intelligence and control for service providers and enterprises.",,1970-01-01 00:00:00.000002014,,"['Business Intelligence', 'Cloud Infrastructure', nan]",,,,,[nan],,"['Cloud management company', 'Develops cloud analytics and management products', nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Software_and_Internet_Services', nan]",ACTONMAGIC TECHNOLOGIES . ,Angel investment,Karnataka
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Health-Tech', nan]",ACTOZEN,Angel investment,
Consumer_goods,personal and household goods,,,,,Noida,,,"Supplier and manufacturer of paper cup, plastic spoon, fiber carry bag, plastic lid, plastic meal tray lid, plastic stirrer, plastic straw, plastic...",,1970-01-01 00:00:00.000002015,,"['Household Products', nan, nan]",,,,,[nan],,"['Supplier and manufacturer of papercups', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Consumer_Products_and_Services', nan]",ADCOUNT TECHNOLOGIES . ,Angel investment,Uttar Pradesh
Technology,Software & Computer Services,,,,B2B,Madurai,,,"Online marketing solutions like SEO, Email marketing, Pay per click,Social media,Video marketing, online lead generation, internet advertising etc",,,,"['Advertising', nan, 'Internet and software development']",,,,,[nan],,"['Video Making', 'Advertising', 'Marketing and Branding']",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",Startup Centre,,"['Media, Advertising and Gaming', 'Software and Internet Services']",ADDIEMALL,Acceleration,Tamil Nadu
Consumer_services,Travel and Leisure,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ADDOC INFOTECH . ,Angel investment,
Technology,Software & Computer Services,,,,,Delhi,,,AddoDoc Technologies Private Limited designs and develops a platform for doctors to manage patient data. It also develops mobile application which connects parent to pediatricians.,,1970-01-01 00:00:00.000002014,,"['Healthcare Analytics and Software', nan, 'Connect to Professionals']",,,,,[nan],,"['Platform for doctors to manage patient data', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Health_Tech', 'Social_Platforms']",ADDODOC TECHNOLOGIES . ,Angel investment,
Consumer_goods,Personal and household goods,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",ADRENALINE RUSH,Angel investment,
Industrials,Industrial goods and services,,,,B2B,,,,AdSparx is a technology platform that enables video content publishers to embed targeted in-stream ads in their products.,,1970-01-01 00:00:00.000002012,,"['Advertising', nan, nan]",,,,,"['MUNISH JAUHAR,GROWX VENTURES,SHARAD SHARMA,MUMBAI ANGELS,INDIAN ANGEL NETWORK']",,"['Advertising portal', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000041791'), NaT, NaT]","['3.5', nan, nan]","[nan, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Media, Advertising and Gaming', nan]",ADSPARX,,
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Media, Advertising and Gaming', nan]",ADSTRAK,Angel investment,
Technology,Software & Computer Services,,,,,Mumbai,,,"AdStringO is end-Point Mobile & Web based Image, Audio & Video Compression Technology provider which enable organizations to release up to 96% of their existing storage capacity to achieve significant, permanent storage cost savings",,1970-01-01 00:00:00.000002014,,"['Enterprise Software', nan, nan]",,,,,[nan],,"['Audio & video compression technology provider ', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Software_and_Internet_Services', nan]",ADSTRINGO SOFTWARE . ,Angel investment,Maharashtra
 and create a mutually beneficial relationship among them. Advantageclub.in is the pioneering savings portal for employees of our partnering companies throughout India.,Industrials,,,,,,,,Advantage Club's goal is to connect small and large scale companies with business owners and vendors,,1970-01-01 00:00:00.000002014,,"['Angel investment', 'Buisness and Management consultancy', nan]",,,,,"['MUMBAI ANGELS,OTHERS']",,"['B2B', 'Connects companies and business vendors', nan]",,"[NaT, NaT, NaT]","['Angel forums', nan, nan]","[42401.0, nan, nan]","[nan, nan, nan]","[2.7000000000000002, nan, nan]",VI,,"['Industrial goods and services', 'Industrial and Business Products and Services']",ADVANTAGE CLUB,Haryana,Gurgaon
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Others', nan]",ADVANTAGESB TECHNOLOGY SOLUTIONS . ,Angel investment,
Consumer_services,Travel and Leisure,,,,B2B,New Delhi,,,"Adytude.com, is a portal on which consumers come online to play games on a daily basis, and provide information, which is then sold to clients. It pulls out relevant information from targeted demographics, depending on the requirements set by its clients.",,,,"['Games and Gaming enablers', nan, nan]",,,,,['INDIAN ANGEL NETWORK'],,"['Gaming', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042552'), NaT, NaT]","['6.6', nan, nan]","[nan, nan, nan]","['Angel forum', nan, nan]","[nan, nan, nan]",VI,,"['Media, Advertising and Gaming', nan]",ADYTUDE,Angel investment,Delhi
Healthcare,Healthcare,,,,,Mumbai,,,"Aegis Care Advisors Pvt. Ltd. provides home healthcare services It also provides attendant services in the areas of personal care, nutrition, mobility, support services, and toileting; and infant care services.",,1970-01-01 00:00:00.000002014,,"['Clinics, Hospitals, and Health Care Providers ', nan, nan]",,,,,[nan],,"['Home health care service providers', nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",keyur,,"['Health_Tech', nan]",AEGIS CARE ADVISORS . ,Angel investment,Maharashtra
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Technology', nan]",AEOLUS AEROTECH  ,Angel investment,
