startupName,founderName,website,city
CHAI POINT,['AMULEEK SINGH BIJRAL'],http://chaipoint.com/,Bangalore
CHANNELYST ADVISORY SERVICES,['ANTERPREET SINGH'],http://shotang.com/,Bangalore
CHARCOAL BIRYANI RESTAURANTS,"['MOHAMMED BHOL', 'KRISHNAKANT THAKUR', 'ANURAG MEHROTRA']",https://charcoalbiryani.com,Mumbai
CHATONGO,"['RAHUL JAIN', 'PRIYANK RANKA', 'SAGAR NAGDA']",http://chatongo.com/,Mumbai
CHEFHOST,"['YIU YIN YAU', 'ABHINANDAN BALASUBRAMANIAN ""ABHI""']",http://chefhost.kitchen/,Chennai
CHEFS BASKET,[],http://www.chefsbasket.in/,Mumbai
CHRONOSPHERE TECHNOLOGIES,[],,
CHYMERA VR,"['SMEET BHATT', 'SUSHIL KUMAR']",http://www.chymeravr.com,San Francisco
CITYFURNISH,['NEERAV JAIN'],http://cityfurnish.com,Gurgaon
CITYSHOR,"['PALLAV PARIKH', 'PANKAJ PATHAK']",http://www.cityshor.com,Ahmedabad
CLEVERSHARKS,[],http://cleversharks.com,
CLODURA SYSTEMS,['SRIRAM KANNAN'],http://www.verayu.com/,Bangalore
CLONECT SOLUTIONS,"['SHAILESH AGRAWAL', 'BALAJI RAO']",http://clonect.com,Bangalore
CLOUDACAR,[],http://cloudacar.org/,
CLOUDCHERRY ANALYTICS,"['VINOD MUTHUKRISHNAN', 'SRIRAM SUBRAMANIAN']",http://www.getcloudcherry.com,Singapore
CLOUDCHERRY,"['VINOD MUTHUKRISHNAN', 'SRIRAM SUBRAMANIAN']",http://www.getcloudcherry.com,Singapore
COINTRIBE TECHNOLOGIES,"['AMIT SACHDEV', 'ROHIT LOHIA']",http://cointribe.com,
COLDWELL REALTY,"['TREY CLARK', 'NAV ATHWAL', 'RAY STURM']",http://www.realtyshares.com,San Francisco
COLLEGEDUNIA WEB,['SAHIL CHALANA'],http://collegedunia.com,Delhi
COLLEGEDUNIA,['SAHIL CHALANA'],http://collegedunia.com,Delhi
CONDIVISION SOLUTIONS,['ANUBHAV JAIN'],,Gurgaon
CONFIRM TICKET ONLINE SOLUTIONS,"['RUBEN MEILAND', 'FRANS JONKER']",http://www.ticketscript.com,Amsterdam
CONNECTABANK,"['TARUN KUMAR', 'GOPAL DHAR']",http://connectabank.com,Mumbai
CONSURE MEDICAL,[],http://www.consuremedical.com,New Delhi
COOEY TECHNOLOGIES,['MANU MADHUSUDANAN.R'],http://cooey.co.in/,Bangalore
COOKAROO FOOD NETWORK,[],http://foodnetwork.com,New York
COOKAROO,"['DARSHAN SUBHASH', 'ERAJ HASSAN']",https://www.cookaroo.in/c#/landing,Bangalore
CORPORATE WELLNESS SOLUTIONS,[],http://www.wellnesscorporatesolutions.com,Bethesda
COUPONHAAT,['VIPIN KUMAR YADAV'],https://www.couponhaat.in/,New Delhi
COURSEWAVE,[],http://www.quackenworth.com,Culver City
CRAYON DATA INDIA,"['SURESH VENUGOPALAN', 'SRIKANT SASTRI']",http://www.crayondata.com,
CREDIHEALTH,['RAVI VIRMANI'],https://www.credihealth.com/,Gurgaon
CROPIN TECHNOLOGIES,['KRISHNA KUMAR'],http://cropin.co.in/home.html,Bengaluru
CROSSAHEAD,['GAURAV WALIA'],http://www.crossahead.com/,Noida
CROWN-IT,['SAMEER GROVER'],https://crownit.in/,Haryana
CRUXIO LABS,[],,Hyderabad
CUE LEARN,['ROBBY WALKER'],http://www.cueup.com,San Francisco
CUREINSTANT,['HAMRAJ KUMAR'],https://www.cureinstant.com,Noida
